"alias_id","entity_id","alias","alias_type","is_preferred","source_entity_id","merge_confidence","merge_reason"
"alias-1200-vc","1200_vc","1200 VC","manual_external","1","1200_vc","0.99","Official investor name"
"alias-startup-aplife-short","aplife_biotech","aplife","historical_startup_alias","0","aplife","0.95","Resolve historical capital edge alias to canonical startup"
"alias-araucaria-venture","araucaria_venture","Araucaria Venture","external_fund_map","1","Araucaria Venture","0.92","High-relevance external fund map entity"
"alias-startup-arcomedlab","arcomed","arcomedLab","historical_startup_alias","0","arcomedLab","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-ardan-pharma","ardan","Ardan Pharma","historical_startup_alias","0","Ardan Pharma","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-avatar","avatar_medtech","AVaTAR","historical_startup_alias","0","AVaTAR","0.95","Resolve historical capital edge alias to canonical startup"
"alias-beam_croptech","BEAM CropTech","BEAM CropTech","merge_from_staging","0","beam_croptech","0.99","Exact same name across sources"
"alias-biodiversity_intelligence","Biodiversity Intelligence","Biodiversity Intelligence","merge_from_staging","0","biodiversity_intelligence","0.99","Exact same name across sources"
"alias-bsafe_biotech","Bsafe Biotech","Bsafe Biotech","merge_from_staging","0","bsafe_biotech","0.99","Exact same name across sources"
"alias-startup-caspr-short","caspr_biotech","caspr","historical_startup_alias","0","caspr","0.95","Resolve historical capital edge alias to canonical startup"
"alias-chileglobal-ventures","chileglobal_ventures","ChileGlobal Ventures","manual_external","1","chileglobal_ventures","0.99","Official investor name"
"alias-cites","CITES","cites","merge_from_staging","0","cites","0.99","Manual canonical merge for same investor with capitalization variation"
"alias-clivi","clivi","Clivi","manual_external","1","clivi","0.99","Official startup name"
"alias-dalus-capital","dalus_capital","Dalus Capital","external_fund_map","1","Dalus Capital","0.92","High-relevance external fund map entity"
"alias-dharma_bioscience","Dharma BioScience","Dharma BioScience","merge_from_staging","0","dharma_bioscience","0.99","Exact same name across sources"
"alias-dogma_biotech","Dogma Biotech","Dogma Biotech","merge_from_staging","0","dogma_biotech","0.99","Exact same name across sources"
"alias-dragones","DragonesVP","Dragones","merge_from_staging","0","dragones","0.99","Manual canonical merge to keep Dragones family under one canonical fund id"
"alias-dragones-canonical-name","DragonesVP","Dragones","merged_canonical_name","0","dragones","0.99","Manual canonical merge to keep Dragones family under one canonical fund id"
"alias-draper_cygnus","DraperCygnus","Draper Cygnus","merge_from_staging","0","draper_cygnus","0.99","Manual canonical merge for same investor with spacing variation"
"alias-draper_cygnus-canonical-name","DraperCygnus","Draper Cygnus","merged_canonical_name","0","draper_cygnus","0.99","Manual canonical merge for same investor with spacing variation"
"alias-eatable-adventures","eatable_adventures","Eatable Adventures","manual_external","1","eatable_adventures","0.99","Official investor name"
"alias-startup-elytron-short","elytron_biotech","Elytron","historical_startup_alias","0","Elytron","0.95","Resolve historical capital edge alias to canonical startup"
"alias-eolo_pharma","Eolo Pharma","Eolo Pharma","merge_from_staging","0","eolo_pharma","0.99","Exact same name across sources"
"alias-fungi_life","Fungi Life","Fungi Life","merge_from_staging","0","fungi_life","0.99","Exact same name across sources"
"alias-fungilife","Fungi Life","Fungilife","merge_from_staging","0","fungilife","0.97","Same normalized name with capitalization variation"
"alias-fungilife-canonical-name","Fungi Life","Fungilife","merged_canonical_name","0","fungilife","0.97","Same normalized name with capitalization variation"
"alias-future_biome","Future Biome","Future Biome","merge_from_staging","0","future_biome","0.99","Exact same name across sources"
"alias-gisens_biotech","Gisens Biotech","Gisens Biotech","merge_from_staging","0","gisens_biotech","0.99","Exact same name across sources"
"alias-grid-exponential","GridX","Grid Exponential","external_fund_map_alias","0","Grid Exponential","0.98","External fund map alias for existing GridX canonical investor"
"alias-gridx","GridX","gridx","merge_from_staging","0","gridx","0.99","Manual canonical merge for same investor with lowercase variation"
"alias-gridx-grid-exponential","GridX","GridX / Grid Exponential","external_fund_map_alias","0","GridX / Grid Exponential","0.98","External fund map alias for existing GridX canonical investor"
"alias-startup-hiamet-sa","HIAMET","hiamet_s_a","historical_startup_alias","0","hiamet_s_a","0.95","Resolve historical capital edge alias to canonical startup"
"alias-invariantes-fund","invariantes_fund","Invariantes Fund","external_fund_map","1","Invariantes Fund","0.92","High-relevance external fund map entity"
"alias-Kigui-graphml","Kigui","KigÃ¼i","source_name_graphml","0","Kigui","","Alternative source label from GraphML"
"alias-kptl","kptl","KPTL","manual_external","1","kptl","0.99","Official investor name"
"alias-limay_biosciences","Limay Biosciences","Limay Biosciences","merge_from_staging","0","limay_biosciences","0.99","Exact same name across sources"
"alias-startup-menta","menta_tickets","Menta","historical_startup_alias","0","Menta","0.9","Resolve historical capital edge alias to canonical startup"
"alias-mesenchyal_t","Mesenchyal-T","Mesenchyal-T","merge_from_staging","0","mesenchyal_t","0.99","Exact same name across sources"
"alias-startup-monte-caldera-short","monte-caldera-technology","monte_caldera","historical_startup_alias","0","monte_caldera","0.95","Resolve historical capital edge alias to canonical startup"
"alias-multiplai_health","MultiplAI Health","MultiplAI Health","merge_from_staging","0","multiplai_health","0.99","Exact same name across sources"
"alias-mycorium_biotech","Mycorium Biotech","Mycorium Biotech","merge_from_staging","0","mycorium_biotech","0.99","Exact same name across sources"
"alias-startup-nanogrow-short","nanogrow_biotech","Nanogrow","historical_startup_alias","0","Nanogrow","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-nano-jump-short","nanojump_bio","nano_jump","historical_startup_alias","0","nano_jump","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-new-organs-short","new_organs_biotech","New Organs","historical_startup_alias","0","New Organs","0.95","Resolve historical capital edge alias to canonical startup"
"alias-newtopia","newtopia_vc","Newtopia","manual_external","0","Newtopia","0.94","Short alias for Newtopia VC"
"alias-newtopia-vc","newtopia_vc","Newtopia VC","external_fund_map","1","Newtopia VC","0.94","External fund map entity and official portfolio source"
"alias-novo_space","Novo Space","Novo Space","merge_from_staging","0","novo_space","0.99","Exact same name across sources"
"alias-NovoSpace","Novo Space","NovoSpace","merge_from_staging","0","NovoSpace","0.97","Same normalized name without space"
"alias-NovoSpace-canonical-name","Novo Space","NovoSpace","merged_canonical_name","0","NovoSpace","0.97","Same normalized name without space"
"alias-nunatak_biotech","Nunatak Biotech","Nunatak Biotech","merge_from_staging","0","nunatak_biotech","0.99","Exact same name across sources"
"alias-onco_precision","Onco Precision","Onco Precision","merge_from_staging","0","onco_precision","0.99","Exact same name across sources"
"alias-OncoPrecision","Onco Precision","OncoPrecision","merge_from_staging","0","OncoPrecision","0.97","Same normalized name without space"
"alias-OncoPrecision-canonical-name","Onco Precision","OncoPrecision","merged_canonical_name","0","OncoPrecision","0.97","Same normalized name without space"
"alias-pampa-start","pampa_start","Pampa Start","manual_external","1","pampa_start","0.99","Official investor name"
"alias-pampa-start-vc","pampa_start","Pampa Start VC","external_fund_map_alias","0","Pampa Start VC","0.98","External fund map alias for existing Pampa Start canonical investor"
"alias-pill_ar","Pill.AR","Pill.AR","merge_from_staging","0","pill_ar","0.99","Exact same name across sources"
"alias-positive-ventures","positive_ventures","Positive Ventures","manual_external","1","positive_ventures","0.99","Official investor name"
"alias-puna_bio","Puna Bio","Puna Bio","merge_from_staging","0","puna_bio","0.99","Exact same name across sources"
"alias-qumir_nano","Qumir Nano","Qumir Nano","merge_from_staging","0","qumir_nano","0.99","Exact same name across sources"
"alias-salkantay-ventures","salkantay_ventures","Salkantay Ventures","external_fund_map","1","Salkantay Ventures","0.92","High-relevance external fund map entity"
"alias-satellites_on_fire","Satellites On Fire","Satellites on Fire","merge_from_staging","0","satellites_on_fire","0.97","Same normalized name with case variation"
"alias-startup-scitherm-short","scitherm_therapeutics","Scitherm","historical_startup_alias","0","Scitherm","0.95","Resolve historical capital edge alias to canonical startup"
"alias-indiebio","SOSV_IndieBio","IndieBio","merge_from_staging","0","indiebio","0.99","Manual canonical merge to keep IndieBio program under one canonical investor id"
"alias-indiebio-canonical-name","SOSV_IndieBio","IndieBio","merged_canonical_name","0","indiebio","0.99","Manual canonical merge to keep IndieBio program under one canonical investor id"
"alias-synthetic_ocular_restoration","Synthetic Ocular Restoration","Synthetic Ocular Restoration","merge_from_staging","0","synthetic_ocular_restoration","0.99","Exact same name across sources"
"alias-startup-syocin-bio-short","syocin-biotech","syocin_bio","historical_startup_alias","0","syocin_bio","0.95","Resolve historical capital edge alias to canonical startup"
"alias-startup-bee-technology","tech","Bee Technology","historical_startup_alias","0","Bee Technology","0.9","Resolve historical capital edge alias to canonical startup"
"alias-startup-tomorrow-short","tomorrow_foods","tomorrow","historical_startup_alias","0","tomorrow","0.95","Resolve historical capital edge alias to canonical startup"
"alias-trebe_biotech","Trebe Biotech","Trebe Biotech","merge_from_staging","0","trebe_biotech","0.99","Exact same name across sources"
"alias-ubique_bio","Ubique Bio","Ubique Bio","merge_from_staging","0","ubique_bio","0.99","Exact same name across sources"
"alias-veronorte","veronorte","Veronorte","external_fund_map","1","Veronorte","0.92","High-relevance external fund map entity"
"alias-vexxel_biotech","Vexxel Biotech","Vexxel Biotech","merge_from_staging","0","vexxel_biotech","0.99","Exact same name across sources"
"alias-vox-capital","vox_capital","Vox Capital","external_fund_map","1","Vox Capital","0.92","High-relevance external fund map entity"
"alias-vx-fund-ventures","vx_fund","VX Ventures","external_fund_map_alias","0","VX Ventures","0.9","Potential alias between external fund map VX Ventures and existing VX Fund; review if separate CVC vehicle is confirmed"
"alias-werken_vac","WerkénVac","Werken Vac","merge_from_staging","0","werken_vac","0.98","Same normalized name with spacing and accent variation"
"alias-werken_vac-canonical-name","WerkénVac","Werken Vac","merged_canonical_name","0","werken_vac","0.98","Same normalized name with spacing and accent variation"
"alias-werkenvac-canonical-name","WerkénVac","WerkenVac","merged_canonical_name","0","werkenvac","0.98","Same normalized name with spacing and accent variation"
"alias-werkenvac","WerkénVac","WerkenVac","merge_from_staging","0","werkenvac","0.98","Same normalized name with spacing and accent variation"
"alias-zavia_bio","Zavia Bio","Zavia Bio","merge_from_staging","0","zavia_bio","0.99","Exact same name across sources"
"alias-zentynel","zentynel","Zentynel","manual_external","1","zentynel","0.99","Official investor name"
"alias-zev_biotech","ZEV Biotech","ZEV Biotech","merge_from_staging","0","zev_biotech","0.99","Exact same name across sources"
