support_id,source_entity_id,target_entity_id,support_type,started_at,ended_at,notes,source_url,confidence_score,added_by,added_at
arcap_member_kptl,arcap,kptl,membership,,https://arcap.org/socios,,0.92,0.85,human:curador,2026-05-24T19:51:47.703858+00:00
arcap_member_500latam,arcap,500_latam,membership,,https://arcap.org/socios,,0.85,0.85,human:curador,2026-05-24T19:51:47.703858+00:00
arcap_member_valor,arcap,valor_capital_group,membership,,https://arcap.org/socios,,0.85,0.85,human:curador,2026-05-24T19:51:47.703858+00:00
arcap_member_drapercygnus,arcap,DraperCygnus,membership,,https://arcap.org/socios,,0.90,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
arcap_member_endurance28,arcap,endurance_28,membership,,https://arcap.org/socios,,0.86,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
arcap_member_newtopia,arcap,newtopia_vc,membership,,https://arcap.org/socios,,0.88,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
arcap_member_kamay,arcap,kamay_ventures,membership,,https://arcap.org/socios,,0.82,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
arcap_member_glocal,arcap,glocal,membership,,https://arcap.org/socios,,0.80,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
abvcap_member_kptl,abvcap,kptl,membership,,https://www.abvcap.com.br/associados,,0.90,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
abvcap_member_spventures,abvcap,sp_ventures,membership,,https://www.abvcap.com.br/associados,,0.90,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
abvcap_member_monashees,abvcap,monashees,membership,,https://www.abvcap.com.br/associados,,0.92,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
abvcap_member_kaszek,abvcap,kaszek,membership,,https://www.abvcap.com.br/associados,,0.92,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
abvcap_member_voxcapital,abvcap,vox_capital,membership,,https://www.abvcap.com.br/associados,,0.86,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
abvcap_member_aquacapital,abvcap,aqua_capital,membership,,https://www.abvcap.com.br/associados,,0.84,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
abvcap_member_kaete,abvcap,kaete_investimentos,membership,,https://www.abvcap.com.br/associados,,0.82,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
chilevc_member_saviaventures,chilevc,savia_ventures,membership,,https://www.chilevc.cl/socios,,0.88,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
chilevc_member_fenventures,chilevc,fen_ventures,membership,,https://www.chilevc.cl/socios,,0.88,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
chilevc_member_chileglobal,chilevc,chileglobal_ventures,membership,,https://www.chilevc.cl/socios,,0.86,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
chilevc_member_kayyak,chilevc,kayyak_ventures,membership,,https://www.chilevc.cl/socios,,0.84,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
lavca_member_kptl,lavca,kptl,membership,,https://lavca.org/members/,,0.88,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
lavca_member_spventures,lavca,sp_ventures,membership,,https://lavca.org/members/,,0.88,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
lavca_member_500latam,lavca,500_latam,membership,,https://lavca.org/members/,,0.88,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
lavca_member_valor,lavca,valor_capital_group,membership,,https://lavca.org/members/,,0.88,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
lavca_member_monashees,lavca,monashees,membership,,https://lavca.org/members/,,0.88,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
lavca_member_kaszek,lavca,kaszek,membership,,https://lavca.org/members/,,0.86,0.85,human:curador,2026-05-24T20:27:51.167429+00:00
cab_argentina_algaebio_member_ad2c63ee,cab_argentina,algaebio,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_alytix_member_b96240b4,cab_argentina,alytix,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_arakion_member_5a08776c,cab_argentina,arakion,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_argentag_member_1a5031a4,cab_argentina,argentag,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_beam_croptech_member_b936627b,cab_argentina,beam_croptech,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_beeflow_member_a69e4f19,cab_argentina,beeflow,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_biodiversity_intelligence_member_21d77b82,cab_argentina,biodiversity_intelligence,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_bioheuris_member_c091a850,cab_argentina,bioheuris,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_biometallum_member_943771da,cab_argentina,biometallum,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_bioplastix_member_2cbd2762,cab_argentina,bioplastix,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_biotecnofe_member_3e35586c,cab_argentina,biotecnofe,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_biosynaptica_member_43d93586,cab_argentina,biosynaptica,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_bitgenia_member_91e9fb9c,cab_argentina,bitgenia,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_caspr_biotech_acq_by_amazon_member_23a41847,cab_argentina,caspr_biotech_acq_by_amazon,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_cell_farm_member_00903f50,cab_argentina,cell_farm,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_chemtest_member_3b8c32cf,cab_argentina,chemtest,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_circa_therapeutics_member_a731580a,cab_argentina,circa_therapeutics,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_cryosmetics_member_7fcd6ed8,cab_argentina,cryosmetics,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_detx_mol_member_16270eab,cab_argentina,detx_mol,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_einsted_member_702f550f,cab_argentina,einsted,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_elytron_biotech_member_ce4540d8,cab_argentina,elytron_biotech,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_embryoxite_member_99f771a1,cab_argentina,embryoxite,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
