"Source","Target","Type","Weight","RelationType","Confidence","SourceKind","Notes"
"indiebio","Beeflow","Undirected","1","accelerated_at","medium","ecosystem_seed","rich_graph_signal|Accelerator/capital relation suggested by historical graph"
"indiebio","st-mm","Undirected","1","accelerated_at","medium","ecosystem_seed","rich_graph_signal|Accelerator/capital relation suggested by historical graph"
"inta","puna-bio","Undirected","1","collaborates_with","low","ecosystem_seed","rich_graph_signal|Institutional relation inferred from historical signals"
"aceleradora-litoral","bioheuris","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","biosynaptica","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","inbioar","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","infira","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","nairotech","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","seedmatriz","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","untech","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"air-capital","aplife-biotech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","arcomedLab","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","argenTAG","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Ayuvant","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Beeflow","Undirected","2","funded_by","high","ecosystem_seed","reference_and_capital_graph|Capital relation seen in current graph stack"
"air-capital","Blerify","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","branch-energy","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","caspr-biotech","Undirected","2","funded_by","high","ecosystem_seed","reference_and_capital_graph|Capital relation seen in current graph stack"
"air-capital","Cellva","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","done-properly","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Egg","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Epiliquid","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","ergo-foods","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Ethos","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Feedvax","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Gigablue","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","inner-cosmos","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Laurus","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Lemon","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","menta-tickets","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","michroma","Undirected","2","funded_by","high","ecosystem_seed","reference_and_capital_graph|Capital relation seen in current graph stack"
"air-capital","novo-space","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Oncoliq","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","onco-precision","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","open-water","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Outpost","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","puna-bio","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","satellites-on-fire","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Skyloom","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","starlight-ventures","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","st-mm","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Sylvarum","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
