"Id","Label","Type","CanonicalType","Degree","Size","Confidence","Sources","SourcePresence","ProvenanceRows","QualityFlags","Slug","r","g","b"
"500-startups","500 Startups","capital","capital_candidate","0","10","0.75","historical|historical_clean|institution_candidates","historical","3","multi_role_capital_accelerator","500-startups","37","182","106"
"aceleradora-litoral","Aceleradora Litoral","capital","investor","7","18","0.6","canonical|historical","graphml","2","","aceleradora-litoral","37","182","106"
"air-capital","AIR Capital","capital","investor","33","50","0.6","canonical|historical|historical_clean","nodes_csv","4","","air-capital","37","182","106"
"Antom","Antom","capital","investor","12","24","0.9","canonical|historical|historical_clean","nodes_csv|graphml","4","","antom","37","182","106"
"bago","Bago","capital","investor","1","11","0.6","canonical|historical","graphml","2","","bago","37","182","106"
"blue-horizon","Blue Horizon","capital","investor","1","11","0.6","canonical|historical","graphml","2","","blue-horizon","37","182","106"
"brinc","Brinc","capital","investor","1","11","0.6","canonical|historical|historical_clean|institution_candidates","graphml","5","multi_role_capital_accelerator","brinc","37","182","106"
"CITES","CITES","capital","investor","22","36","0.9","canonical|historical|historical_clean","nodes_csv|graphml","4","","cites","37","182","106"
"conservation-international","conservation international","capital","investor","1","11","0.6","canonical|historical","graphml","2","","conservation-international","37","182","106"
"creative-ventures","creative ventures","capital","investor","1","11","0.6","canonical|historical","graphml","2","","creative-ventures","37","182","106"
"dragones","Dragones","capital","investor","2","12","0.6","canonical|historical","graphml","2","","dragones","37","182","106"
"DragonesVP","DragonesVP","capital","investor","10","22","0.6","canonical|historical","nodes_csv","2","","dragonesvp","37","182","106"
"draper-associates","Draper Associates","capital","investor","1","11","0.6","canonical|historical","graphml","2","","draper-associates","37","182","106"
"draper-university","Draper University","capital","investor","1","11","0.6","canonical|historical|historical_clean|institution_candidates","graphml","5","multi_role_capital_accelerator","draper-university","37","182","106"
"DraperCygnus","DraperCygnus","capital","investor","24","39","0.6","canonical|historical|historical_clean","nodes_csv","6","","drapercygnus","37","182","106"
"duhau","Duhau","capital","investor","2","12","0.6","canonical|historical","graphml","2","","duhau","37","182","106"
"flia-duhau","Flia. Duhau","capital","investor","1","11","0.6","canonical|historical","graphml","2","","flia-duhau","37","182","106"
"fundacion-para-el-progreso-de-la-medicina","Fundacion para el progreso de la medicina","capital","investor","1","11","0.6","canonical|historical","graphml","2","","fundacion-para-el-progreso-de-la-medicina","37","182","106"
"future-ventures","Future Ventures","capital","investor","1","11","0.6","canonical|historical","graphml","2","","future-ventures","37","182","106"
"genesis-consortium","Genesis Consortium","capital","investor","1","11","0.6","canonical|historical","graphml","2","","genesis-consortium","37","182","106"
"glocal","GLOCAL","capital","investor","6","17","0.6","canonical|historical","graphml","2","","glocal","37","182","106"
"GridX","GridX","capital","investor","98","60","0.9","canonical|historical|historical_clean","nodes_csv|graphml","4","","gridx","37","182","106"
"grupo-insud","Grupo Insud","capital","investor","1","11","0.6","canonical|historical","graphml","2","","grupo-insud","37","182","106"
"grupo-peruanos","Grupo Peruanos","capital","investor","1","11","0.6","canonical|historical","graphml","2","","grupo-peruanos","37","182","106"
"happiness","Happiness","capital","investor","1","11","0.6","canonical|historical","graphml","2","","happiness","37","182","106"
"hatch","Hatch","capital","investor","1","11","0.6","canonical|historical","graphml","2","","hatch","37","182","106"
