"Source","Target","Type","Weight","RelationType","Confidence","SourceKind","Notes"
"aceleradora-litoral","bioheuris","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","biosynaptica","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","inbioar","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","infira","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","nairotech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","seedmatriz","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"aceleradora-litoral","untech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"air-capital","aplife-biotech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","arcomedLab","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","argenTAG","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Ayuvant","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Beeflow","Directed","0.9","funded_by","high","ecosystem_seed","reference_and_capital_graph|Capital relation seen in current graph stack"
"air-capital","Blerify","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","branch-energy","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","caspr-biotech","Directed","0.9","funded_by","high","ecosystem_seed","reference_and_capital_graph|Capital relation seen in current graph stack"
"air-capital","Cellva","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","done-properly","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Egg","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Epiliquid","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","ergo-foods","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Ethos","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Feedvax","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Gigablue","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","inner-cosmos","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Laurus","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Lemon","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","menta-tickets","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","michroma","Directed","0.9","funded_by","high","ecosystem_seed","reference_and_capital_graph|Capital relation seen in current graph stack"
"air-capital","novo-space","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Oncoliq","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","onco-precision","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","open-water","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Outpost","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","puna-bio","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","satellites-on-fire","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Skyloom","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","starlight-ventures","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","st-mm","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","Sylvarum","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"air-capital","tissue-dynamics","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"Antom","Agrojusto","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"Antom","CIRCCLO","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"Antom","Conciencia","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"Antom","eir","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"Antom","Huiro","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"Antom","Kigui","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"Antom","Kilimo","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"Antom","Nideport","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"Antom","po-s-bioenergy","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"Antom","Ruuts","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"Antom","satellites-on-fire","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"bago","tomorrow-foods","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"blue-horizon","syocin-biotech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"brinc","cell-farm","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","abastra","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","ardan","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","ardan-pharma","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","Bionirs","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","bioseek","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","circa-therapeutics","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","clover","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","Crinsurance","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","eolo-pharma","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","Epiliquid","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","ergo-bioscience","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","Gbot","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","imvalv","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","limay-biosciences","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","pepton","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","phylumtech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","RadBio","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","single-strand-biotech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","Stradot","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"CITES","teramot","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"CITES","vexxel-biotech","Directed","0.9","funded_by","high","ecosystem_seed","reference_and_capital_graph|Capital relation seen in current graph stack"
"CITES","ViewMind","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"conservation-international","Feedvax","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"creative-ventures","onco-precision","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"dragones","caspr-biotech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"dragones","st-mm","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DragonesVP","amai-proteins","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","Armenta","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","caspr-biotech","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","FixUP","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","ngc-partners","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","Peek","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","Satellogic","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","Semtive","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","Skyloom","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DragonesVP","unleash-immuno-oncolytics","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"draper-associates","st-mm","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","argenTAG","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Auth0","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Ayuvant","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Beeflow","Directed","0.9","funded_by","high","ecosystem_seed","reference_and_capital_graph|Capital relation seen in current graph stack"
"DraperCygnus","CargoProduce","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DraperCygnus","Dynami","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Egg","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DraperCygnus","Falcomm","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","GBM","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Lemon","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Menta","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DraperCygnus","mentatech","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Microterra","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","novo-space","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Oasys","Directed","0.95","funded_by","0.95","canonical_investment","edgeseco.csv"
"DraperCygnus","Oneinfinite","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","satellites-on-fire","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","Satellogic","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"DraperCygnus","SiloReal","Directed","0.9","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
