"entity_id","canonical_name","source_file","source_kind","extraction_method","notes"
"500-startups","500 Startups","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"500-startups","500 Startups","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical_clean","gephi_string_signal","historical_rich_graph_signal"
"500-startups","500 Startups","ecosystem_institution_candidates.csv","institution_candidates","rich_graph_extracted","Extracted from graph strings"
"abastra","AbAstra","canonical_entities.csv","canonical","canonical_base","graphml"
"abastra","AbAstra","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"aceleradora-litoral","Aceleradora Litoral","canonical_entities.csv","canonical","canonical_base","graphml"
"aceleradora-litoral","Aceleradora Litoral","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"aerialoop","Aerialoop","canonical_entities.csv","canonical","canonical_base","graphml"
"aerialoop","Aerialoop","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"agree","Agree","canonical_entities.csv","canonical","canonical_base","graphml"
"agree","Agree","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"agroforte","Agroforte","canonical_entities.csv","canonical","canonical_base","graphml"
"agroforte","Agroforte","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"Agrojusto","Agrojusto","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Agrojusto","Agrojusto","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"Aictive","Aictive","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"Aictive","Aictive","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"air-capital","AIR Capital","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"air-capital","AIR Capital","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"air-capital","AIR Capital","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"air-capital","AIR Capital","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical_clean","gephi_string_signal","historical_rich_graph_signal"
"algaebio","algaebio+","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"algaebio","algaebio+","canonical_entities.csv","canonical","canonical_base","graphml"
"algaebio","algaebio+","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"AlgaLife","AlgaLife","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"AlgaLife","AlgaLife","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Alkemio","Alkemio","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Alkemio","Alkemio","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"altscore","Altscore","canonical_entities.csv","canonical","canonical_base","graphml"
"altscore","Altscore","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"Alytix","Alytix","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Alytix","Alytix","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"amai-proteins","Amai Proteins","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"amai-proteins","Amai Proteins","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"amplify-dynamics","Amplify Dynamics","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"amplify-dynamics","Amplify Dynamics","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Antarka","Antarka","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Antarka","Antarka","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"Antom","Antom","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Antom","Antom","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi|Ecosistema Startups Materiales.gephi","historical","gephi_string_signal","historical_rich_graph_signal"
"Antom","Antom","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"Antom","Antom","Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi|Ecosistema Startups Materiales.gephi","historical_clean","gephi_string_signal","historical_rich_graph_signal"
"Apasomics","Apasomics","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Apasomics","Apasomics","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"APEXzymes","APEXzymes","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"APEXzymes","APEXzymes","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"aplife-biotech","Aplife Biotech","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"aplife-biotech","Aplife Biotech","canonical_entities.csv","canonical","canonical_base","graphml"
"aplife-biotech","Aplife Biotech","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"aplife-biotech","Aplife Biotech","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"Aquit","Aquit","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"Aquit","Aquit","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"arakion","Arakion","canonical_entities.csv","canonical","canonical_base","graphml"
"arakion","Arakion","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"arcomedLab","arcomedLab","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"arcomedLab","arcomedLab","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"ardan","Ardan","canonical_entities.csv","canonical","canonical_base","graphml"
"ardan","Ardan","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"ardan-pharma","Ardan Pharma","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"ardan-pharma","Ardan Pharma","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"argenTAG","argenTAG","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
"argenTAG","argenTAG","nodoseco.csv|latam_coinvest_network_v3.graphml","historical","csv_node_table|graphml_nodes","core_capital_graph|core_coinvest_graph"
"Armenta","Armenta","canonical_entities.csv","canonical","canonical_base","nodes_csv"
"Armenta","Armenta","nodoseco.csv","historical","csv_node_table","core_capital_graph"
"arqlite","Arqlite","canonical_entities.csv","canonical","canonical_base","graphml"
"arqlite","Arqlite","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"auravant","Auravant","canonical_entities.csv","canonical","canonical_base","graphml"
"auravant","Auravant","latam_coinvest_network_v3.graphml","historical","graphml_nodes","core_coinvest_graph"
"Auth0","Auth0","canonical_entities.csv","canonical","canonical_base","nodes_csv|graphml"
