theme,country,n_startups,evidence_pct,capital_pct,dominant_source,dominant_source_share,country_tier,coverage_label
Bioinputs & Crop Resilience,AR,26,0.885,0.962,gridx,0.577,well_mapped,bien_mapeado
Bioinputs & Crop Resilience,BM,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Bioinputs & Crop Resilience,BO,0,0.0,0.0,,0.0,under_explored,no_explorado
Bioinputs & Crop Resilience,BR,23,0.522,0.609,web_research_2026,0.478,well_mapped,parcial
Bioinputs & Crop Resilience,CL,7,0.429,0.857,web_research_2026,0.571,partial,parcial
Bioinputs & Crop Resilience,CO,0,0.0,0.0,,0.0,under_explored,no_explorado
Bioinputs & Crop Resilience,CR,1,0.0,1.0,web_research_2026,1.0,under_explored,no_explorado
Bioinputs & Crop Resilience,DO,0,0.0,0.0,,0.0,under_explored,no_explorado
Bioinputs & Crop Resilience,EC,0,0.0,0.0,,0.0,under_explored,no_explorado
Bioinputs & Crop Resilience,GT,0,0.0,0.0,,0.0,under_explored,no_explorado
Bioinputs & Crop Resilience,MX,5,0.0,0.2,web_research_2026,0.6,partial,parcial
Bioinputs & Crop Resilience,NL,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Bioinputs & Crop Resilience,PA,1,0.0,0.0,gridx,1.0,under_explored,no_explorado
Bioinputs & Crop Resilience,PE,0,0.0,0.0,,0.0,under_explored,no_explorado
Bioinputs & Crop Resilience,PR,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Bioinputs & Crop Resilience,PY,0,0.0,0.0,,0.0,under_explored,no_explorado
Bioinputs & Crop Resilience,US,1,1.0,1.0,gridx,1.0,fuera_de_foco,fuera_de_foco
Bioinputs & Crop Resilience,UY,2,0.0,0.5,gridx,1.0,under_explored,no_explorado
Bioinputs & Crop Resilience,VE,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomanufacturing & Platform Technologies,AR,10,0.9,0.9,gridx,0.5,well_mapped,bien_mapeado
Biomanufacturing & Platform Technologies,BM,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Biomanufacturing & Platform Technologies,BO,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomanufacturing & Platform Technologies,BR,9,0.556,0.556,gridx,0.556,well_mapped,parcial
Biomanufacturing & Platform Technologies,CL,1,1.0,1.0,gridx,1.0,partial,parcial
Biomanufacturing & Platform Technologies,CO,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomanufacturing & Platform Technologies,CR,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomanufacturing & Platform Technologies,DO,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomanufacturing & Platform Technologies,EC,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomanufacturing & Platform Technologies,GT,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomanufacturing & Platform Technologies,MX,1,0.0,0.0,gridx,1.0,partial,parcial
Biomanufacturing & Platform Technologies,NL,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Biomanufacturing & Platform Technologies,PA,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomanufacturing & Platform Technologies,PE,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomanufacturing & Platform Technologies,PR,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Biomanufacturing & Platform Technologies,PY,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomanufacturing & Platform Technologies,US,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Biomanufacturing & Platform Technologies,UY,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomanufacturing & Platform Technologies,VE,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomaterials & Circular Economy,AR,21,0.857,0.905,gridx,0.524,well_mapped,bien_mapeado
Biomaterials & Circular Economy,BM,0,0.0,0.0,,0.0,fuera_de_foco,fuera_de_foco
Biomaterials & Circular Economy,BO,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomaterials & Circular Economy,BR,7,0.143,0.429,gridx,0.714,well_mapped,parcial
Biomaterials & Circular Economy,CL,12,0.25,0.667,gridx,0.417,partial,parcial
Biomaterials & Circular Economy,CO,1,1.0,1.0,(sin provenance),1.0,under_explored,no_explorado
Biomaterials & Circular Economy,CR,1,0.0,0.0,gridx,1.0,under_explored,no_explorado
Biomaterials & Circular Economy,DO,0,0.0,0.0,,0.0,under_explored,no_explorado
Biomaterials & Circular Economy,EC,0,0.0,0.0,,0.0,under_explored,no_explorado
