"fund_id","fund_name","startup_id","startup_name","startup_source_url","startup_source_type","observation_class","edge_source_file","edge_confidence","in_master","master_scope_decision","master_scope_status","macro_theme","structured_country","data_quality_score_10"
"aceleradora_litoral","Aceleradora Litoral","bioheuris","Bioheuris","https://bioheuris.com/aboutus","official_website","official_public_profile","https://www.aceleradoralitoral.com.ar/portfolio/","0.96","True","include","confirmed","ag biologicals and crop resilience","AR/US","8.5"
"aceleradora_litoral","Aceleradora Litoral","biosynaptica","BioSynaptica","https://biosynaptica.com/","official_website","official_public_profile","https://www.aceleradoralitoral.com.ar/portfolio/","0.96","True","include","confirmed","therapeutics and regenerative medicine","AR","9"
"aceleradora_litoral","Aceleradora Litoral","inbioar","Inbioar","https://inbioar.com/","official_website","official_public_profile","https://www.aceleradoralitoral.com.ar/portfolio/","0.96","True","include","confirmed","ag biologicals and crop resilience","AR","8.5"
"aceleradora_litoral","Aceleradora Litoral","infira","Infira","https://ar.linkedin.com/company/infira","public_company_profile","public_profile","https://www.aceleradoralitoral.com.ar/portfolio/","0.96","True","include","confirmed","ag biologicals and crop resilience","AR","8.5"
"aceleradora_litoral","Aceleradora Litoral","nairotech","Nairotech","https://www.argentina.gob.ar/noticias/disenan-plasticos-con-propiedades-antimicrobianas","government_public_profile","public_profile","https://www.aceleradoralitoral.com.ar/portfolio/","0.96","True","include","confirmed","biobased chemistry and advanced materials","AR","8.5"
"aceleradora_litoral","Aceleradora Litoral","seedmatriz","SeedMatriz","https://seedmatriz.com/en/","official_website","official_public_profile","https://www.aceleradoralitoral.com.ar/portfolio/","0.96","True","include","confirmed","ag biologicals and crop resilience","AR","9"
"aceleradora_litoral","Aceleradora Litoral","untech","UnTech","https://www.untech.bio/our-solution/","official_website","official_public_profile","https://www.aceleradoralitoral.com.ar/portfolio/","0.96","True","include","confirmed","diagnostics and medtech","AR","8.5"
"AIR Capital","AIR Capital","aplife_biotech","Aplife Biotech","https://www.aplifebiotech.com/about","official_website","official_public_profile","https://www.aircapital.vc/portfolio","0.96","True","include","confirmed","computational biology and scientific software","BR","8"
"AIR Capital","AIR Capital","argentag","ArgenTAG","https://www.argentag.com/single-cell-solutions","official_website","official_public_profile","https://www.aircapital.vc/portfolio","0.96","True","include","confirmed","computational biology and scientific software","AR","8.5"
"AIR Capital","AIR Capital","ayuvant","Ayuvant","https://www.ayuvant.com/","official_website","official_public_profile","https://www.aircapital.vc/portfolio","0.96","True","include","confirmed","therapeutics and regenerative medicine","NL","8"
"AIR Capital","AIR Capital","blerify","Blerify","https://blerify.com/es/","official_website","official_public_profile","https://www.aircapital.vc/portfolio","0.96","True","exclude","confirmed","peripheral or non-core digital ventures","AR/US","9.5"
"AIR Capital","AIR Capital","branch_energy","Branch Energy","https://www.linkedin.com/company/branch-energy","official_public_profile","official_public_profile","https://www.aircapital.vc/portfolio","0.96","True","include","confirmed","climate, energy and resource systems","US","8.5"
"AIR Capital","AIR Capital","cellva","Cellva","https://cellva.com/","official_website","official_public_profile","https://www.aircapital.vc/portfolio","0.96","True","include","confirmed","food biotech and novel ingredients","BR","8.5"
"AIR Capital","AIR Capital","done_properly","Done Properly","https://www.doneproperly.co/en/home-en/","official_website","official_public_profile","https://www.aircapital.vc/portfolio","0.96","True","include","confirmed","food biotech and novel ingredients","CL","8.5"
"AIR Capital","AIR Capital","egg","Egg","https://www.thecompanycheck.com/company/b/egg/9xjv91mufoaes1t4s","external_profile","public_profile","https://www.aircapital.vc/portfolio","0.96","True","exclude","confirmed","peripheral or non-core digital ventures","AR","9"
