"source_entity_id","source_name","target_entity_id","target_name","target_norm","source_kind","confidence","notes"
"air-capital","AIR Capital","aplife-biotech","Aplife Biotech","aplifebiotech","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","arcomedLab","arcomedLab","arcomedlab","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","argenTAG","argenTAG","argentag","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","Ayuvant","Ayuvant","ayuvant","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","Beeflow","Beeflow","beeflow","ecosystem_seed","high","reference_and_capital_graph|Capital relation seen in current graph stack"
"air-capital","AIR Capital","Blerify","Blerify","blerify","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","branch-energy","Branch Energy","branchenergy","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","caspr-biotech","Caspr Biotech","casprbiotech","ecosystem_seed","high","reference_and_capital_graph|Capital relation seen in current graph stack"
"air-capital","AIR Capital","Cellva","Cellva","cellva","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","done-properly","Done Properly","doneproperly","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","Egg","Egg","egg","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","Epiliquid","Epiliquid","epiliquid","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","ergo-foods","Ergo Foods","ergofoods","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","Ethos","Ethos","ethos","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","Feedvax","Feedvax","feedvax","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","Gigablue","Gigablue","gigablue","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","inner-cosmos","Inner Cosmos","innercosmos","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","Laurus","Laurus","laurus","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","Lemon","Lemon","lemon","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","menta-tickets","Menta Tickets","mentatickets","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","michroma","michroma","michroma","ecosystem_seed","high","reference_and_capital_graph|Capital relation seen in current graph stack"
"air-capital","AIR Capital","novo-space","Novo Space","novospace","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","onco-precision","Onco Precision","oncoprecision","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","Oncoliq","Oncoliq","oncoliq","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","open-water","Open Water","openwater","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","Outpost","Outpost","outpost","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","puna-bio","Puna Bio","punabio","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","satellites-on-fire","Satellites On Fire","satellitesonfire","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","Skyloom","Skyloom","skyloom","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","st-mm","Stämm","stmm","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","starlight-ventures","Starlight Ventures","starlightventures","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","Sylvarum","Sylvarum","sylvarum","canonical_investment","0.95","edgeseco.csv"
"air-capital","AIR Capital","tissue-dynamics","Tissue Dynamics","tissuedynamics","canonical_investment","0.95","edgeseco.csv"
