"source_entity_id","source_name","target_entity_id","target_name","target_norm","source_kind","confidence","notes"
"Antom","Antom","Agrojusto","Agrojusto","agrojusto","canonical_investment","0.95","edgeseco.csv"
"Antom","Antom","CIRCCLO","CIRCCLO","circclo","canonical_investment","0.95","edgeseco.csv"
"Antom","Antom","Conciencia","Conciencia","conciencia","canonical_investment","0.95","edgeseco.csv"
"Antom","Antom","eiru","EirÃº","eir","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"Antom","Antom","eir","Eirú","eir","canonical_investment","0.95","edgeseco.csv"
"Antom","Antom","Huiro","Huiro","huiro","canonical_investment","0.95","edgeseco.csv"
"Antom","Antom","Kigui","Kigui","kigui","canonical_investment","0.95","edgeseco.csv"
"Antom","Antom","Kilimo","Kilimo","kilimo","canonical_investment","0.95","edgeseco.csv"
"Antom","Antom","Nideport","Nideport","nideport","canonical_investment","0.95","edgeseco.csv"
"Antom","Antom","po-s-bioenergy","PoÃ¡s Bioenergy","posbioenergy","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"Antom","Antom","Ruuts","Ruuts","ruuts","canonical_investment","0.95","edgeseco.csv"
"Antom","Antom","satellites-on-fire","Satellites On Fire","satellitesonfire","canonical_investment","0.95","edgeseco.csv"
