"source_entity_id","source_name","target_entity_id","target_name","target_norm","source_kind","confidence","notes"
"CITES","CITES","abastra","AbAstra","abastra","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"CITES","CITES","ardan","Ardan","ardan","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"CITES","CITES","ardan-pharma","Ardan Pharma","ardanpharma","canonical_investment","0.95","edgeseco.csv"
"CITES","CITES","Bionirs","Bionirs","bionirs","canonical_investment","0.95","edgeseco.csv"
"CITES","CITES","bioseek","Bioseek","bioseek","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"CITES","CITES","circa-therapeutics","Circa Therapeutics","circatherapeutics","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"CITES","CITES","clover","Clover","clover","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"CITES","CITES","Crinsurance","Crinsurance","crinsurance","canonical_investment","0.95","edgeseco.csv"
"CITES","CITES","eolo-pharma","Eolo Pharma","eolopharma","canonical_investment","0.95","edgeseco.csv"
"CITES","CITES","Epiliquid","Epiliquid","epiliquid","canonical_investment","0.95","edgeseco.csv"
"CITES","CITES","ergo-bioscience","Ergo Bioscience","ergobioscience","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"CITES","CITES","Gbot","Gbot","gbot","canonical_investment","0.95","edgeseco.csv"
"CITES","CITES","imvalv","Imvalv","imvalv","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"CITES","CITES","limay-biosciences","Limay Biosciences","limaybiosciences","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"CITES","CITES","pepton","Pepton","pepton","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"CITES","CITES","phylumtech","PhylumTech","phylumtech","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"CITES","CITES","RadBio","RadBio","radbio","canonical_investment","0.95","edgeseco.csv"
"CITES","CITES","single-strand-biotech","Single Strand Biotech","singlestrandbiotech","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"CITES","CITES","Stradot","Stradot","stradot","canonical_investment","0.95","edgeseco.csv"
"CITES","CITES","teramot","Teramot","teramot","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"CITES","CITES","vexxel-biotech","Vexxel Biotech","vexxelbiotech","ecosystem_seed","high","reference_and_capital_graph|Capital relation seen in current graph stack"
"CITES","CITES","ViewMind","ViewMind","viewmind","canonical_investment","0.95","edgeseco.csv"
