"source_entity_id","source_name","target_entity_id","target_name","target_norm","source_kind","confidence","notes"
"GridX","GridX","algaebio","algaebio+","algaebio","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","AlgaLife","AlgaLife","algalife","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Alkemio","Alkemio","alkemio","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Alytix","Alytix","alytix","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Antarka","Antarka","antarka","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Apasomics","Apasomics","apasomics","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","APEXzymes","APEXzymes","apexzymes","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","aplife-biotech","Aplife Biotech","aplifebiotech","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","Aquit","Aquit","aquit","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","arakion","Arakion","arakion","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","argenTAG","argenTAG","argentag","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","avatar-medtech","AVaTAR MedTech","avatarmedtech","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Beeflow","Beeflow","beeflow","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","BioBlends","BioBlends","bioblends","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","biocle","BioClÃ©","biocl","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","biodiversity-intelligence","Biodiversity Intelligence","biodiversityintelligence","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Bioeutectics","Bioeutectics","bioeutectics","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","bioplaster-research","BioPlaster Research","bioplasterresearch","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","bioplaster-research-inc","BioPlaster Research Inc","bioplasterresearchinc","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","Bioplastix","Bioplastix","bioplastix","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Bitgenia","Bitgenia","bitgenia","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","BreakPET","BreakPET","breakpet","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","bsafe-biotech","Bsafe Biotech","bsafebiotech","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","ByBug","ByBug","bybug","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","calfix","Calfix","calfix","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","Caligenia","Caligenia","caligenia","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","caspr-biotech","Caspr Biotech","casprbiotech","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","cell-farm","Cell Farm","cellfarm","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","CellRep","CellRep","cellrep","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Cryosmetics","Cryosmetics","cryosmetics","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","CyanoMin","CyanoMin","cyanomin","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","cytbac","Cytbac","cytbac","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","dogma-biotech","Dogma Biotech","dogmabiotech","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","EINSTED","EINSTED","einsted","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","elytron-biotech","Elytron Biotech","elytronbiotech","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Embryoxite","Embryoxite","embryoxite","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Enteria","Enteria","enteria","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","enzyva","Enzyva","enzyva","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","eywa-biotech","Eywa Biotech","eywabiotech","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","F4U","F4U","f4u","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","fecundis","fecundis","fecundis","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Feedvax","Feedvax","feedvax","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","food4you","Food4You","food4you","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","fungi-life","Fungi Life","fungilife","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","future-biome","Future Biome","futurebiome","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Geoprot","Geoprot","geoprot","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","gisens-biotech","Gisens Biotech","gisensbiotech","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","GlycoX","GlycoX","glycox","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","HIAMET","HIAMET","hiamet","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Invitrall","Invitrall","invitrall","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","kresko-rnatech","Kresko RNATech","kreskornatech","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","levya","Levya","levya","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","limay-biosciences","Limay Biosciences","limaybiosciences","ecosystem_seed","high","reference_and_capital_graph|Capital relation seen in current graph stack"
"GridX","GridX","lipock","Lipock","lipock","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","mavios","Mavios","mavios","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","michroma","michroma","michroma","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","microgenesis","microgenesis","microgenesis","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","MicroIN","MicroIN","microin","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Migma","Migma","migma","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","monte-caldera-technology","Monte Caldera Technology","montecalderatechnology","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","MZP","MZP","mzp","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","nano-jump-bio","Nano Jump Bio","nanojumpbio","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","nanogrow-biotech","Nanogrow Biotech","nanogrowbiotech","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","NanoInGreen","NanoInGreen","nanoingreen","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","nanoprox","NanoproX","nanoprox","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","Nanotransfer","Nanotransfer","nanotransfer","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Nat4Bio","Nat4Bio","nat4bio","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Naturannova","Naturannova","naturannova","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","naturanova","Naturanova","naturanova","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","neocell","Neocell","neocell","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","new-organs-biotech","New Organs Biotech","neworgansbiotech","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","nunatak-biotech","Nunatak Biotech","nunatakbiotech","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","ocular-bio-design","Ocular Bio Design","ocularbiodesign","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","onco-precision","Onco Precision","oncoprecision","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","plamic","Plamic","plamic","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","Polymera","Polymera","polymera","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","pregen","PreGen","pregen","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","Protiva","Protiva","protiva","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","puna-bio","Puna Bio","punabio","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Qnity","Qnity","qnity","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","qumir-nano","Qumir Nano","qumirnano","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Radial","Radial","radial","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","resistia","Resistia","resistia","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","scitherm-therapeutics","Scitherm Therapeutics","scithermtherapeutics","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Semion","Semion","semion","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","SphereBio","SphereBio","spherebio","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","st-mm","Stämm","stmm","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","Sylvarum","Sylvarum","sylvarum","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","synthetic-ocular-restoration","Synthetic Ocular Restoration","syntheticocularrestoration","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","syocin-biotech","Syocin Biotech","syocinbiotech","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","tesabio-ai","Tesabio.ai","tesabioai","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","tomorrow-foods","Tomorrow Foods","tomorrowfoods","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"GridX","GridX","ubique-bio","Ubique Bio","ubiquebio","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","UpDairy","UpDairy","updairy","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","vexxel-biotech","Vexxel Biotech","vexxelbiotech","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","werk-nvac","WerkénVac","werknvac","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","zavia-bio","Zavia Bio","zaviabio","canonical_investment","0.95","edgeseco.csv"
"GridX","GridX","zev-biotech","ZEV Biotech","zevbiotech","canonical_investment","0.95","edgeseco.csv"
