"source_entity_id","source_name","target_entity_id","target_name","target_norm","source_kind","confidence","notes"
"inventure","Inventure","calice","Calice","calice","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"inventure","Inventure","deepagro","DeepAgro","deepagro","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"inventure","Inventure","eiwa","Eiwa","eiwa","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"inventure","Inventure","elytron-biotech","Elytron Biotech","elytronbiotech","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"inventure","Inventure","Kigui","Kigui","kigui","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"inventure","Inventure","Nat4Bio","Nat4Bio","nat4bio","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"inventure","Inventure","satellites-on-fire","Satellites On Fire","satellitesonfire","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"inventure","Inventure","sensify","Sensify","sensify","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"inventure","Inventure","SiloReal","SiloReal","siloreal","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"inventure","Inventure","tracestory","Tracestory","tracestory","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"inventure","Inventure","UNIBAIO","UNIBAIO","unibaio","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"inventure","Inventure","zoomagri","ZoomAgri","zoomagri","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
