"source_entity_id","source_name","target_entity_id","target_name","target_norm","source_kind","confidence","notes"
"kamay-ventures","Kamay Ventures","aerialoop","Aerialoop","aerialoop","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","altscore","Altscore","altscore","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","arqlite","Arqlite","arqlite","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","auravant","Auravant","auravant","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","bacu","BACU","bacu","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","Bioeutectics","Bioeutectics","bioeutectics","ecosystem_seed","medium","reference_visual|Seen in reference image cluster"
"kamay-ventures","Kamay Ventures","ini","INI","ini","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","Kilimo","Kilimo","kilimo","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","logshare","LogShare","logshare","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","muta","MUTA","muta","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","nude","Nude","nude","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","retrypay","Retrypay","retrypay","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","ruedata","Ruedata","ruedata","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","sensei","Sensei","sensei","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","sensify","Sensify","sensify","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","solfium","Solfium","solfium","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","webee","Webee","webee","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","wiagro","Wiagro","wiagro","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","wisy","Wisy","wisy","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"kamay-ventures","Kamay Ventures","zipnova","Zipnova","zipnova","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
