"source_entity_id","source_name","target_entity_id","target_name","target_norm","source_kind","confidence","notes"
"SF500","SF500","beam-croptech","BEAM CropTech","beamcroptech","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","Bioeutectics","Bioeutectics","bioeutectics","ecosystem_seed","high","reference_and_capital_graph|Capital relation seen in current graph stack"
"SF500","SF500","BioMetallum","BioMetallum","biometallum","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","Biotalife","Biotalife","biotalife","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","dharma-bioscience","Dharma BioScience","dharmabioscience","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","eiru","EirÃº","eir","canonical_investment","0.9","latam_coinvest_network_v3.graphml"
"SF500","SF500","eir","Eirú","eir","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","Eureka","Eureka","eureka","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","Exomas","Exomas","exomas","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","Gameet","Gameet","gameet","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","INMET","INMET","inmet","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","Libera","Libera","libera","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","limay-biosciences","Limay Biosciences","limaybiosciences","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","M4Life","M4Life","m4life","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","Mesenchyal-T","Mesenchyal-T","mesenchyalt","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","multiplai-health","MultiplAI Health","multiplaihealth","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","mycorium-biotech","Mycorium Biotech","mycoriumbiotech","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","NotFossil","NotFossil","notfossil","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","Oncoliq","Oncoliq","oncoliq","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","pill-ar","Pill.AR","pillar","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","SoyGREEN","SoyGREEN","soygreen","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","Spectrum","Spectrum","spectrum","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","TELL","TELL","tell","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","Tintte","Tintte","tintte","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","trebe-biotech","Trebe Biotech","trebebiotech","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","UNIBAIO","UNIBAIO","unibaio","canonical_investment","0.95","edgeseco.csv"
"SF500","SF500","zev-biotech","ZEV Biotech","zevbiotech","ecosystem_seed","high","reference_and_capital_graph|Capital relation seen in current graph stack"
