"entity_type","entity_id","entity_name","pipeline_state","scope_decision","review_status","quality_band","data_quality_score_10","source_type","source_url","structured_country","capital_edge_count","needs_source","needs_scope_decision","needs_country","needs_quality_upgrade","needs_capital_edge","priority_score"
"startup","amaro","Amaro","source_needed","exclude","taxonomy_stub","medium","8","taxonomy_stub","","","0","True","False","False","False","False","100"
"startup","centralo","Centralo","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","curseduca","Curseduca","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","BR","0","True","False","False","False","False","100"
"startup","exactly","Exactly","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","facturama","Facturama","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","MX","0","True","False","False","False","False","100"
"startup","fligoo","Fligoo","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","frete_com","Frete Com","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","frubana","Frubana","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","CO/BR","0","True","False","False","False","False","100"
"startup","grandata","Grandata","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","US/AR","0","True","False","False","False","False","100"
"startup","houm","Houm","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","CL","0","True","False","False","False","False","100"
"startup","hybridon","Hybridon","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR","0","True","False","False","False","False","100"
"startup","inventa","Inventa","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","BR","0","True","False","False","False","False","100"
"startup","iof","Iof","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
"startup","jampp","Jampp","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","AR/US","0","True","False","False","False","False","100"
"startup","kangu","Kangu","source_needed","exclude","taxonomy_stub","medium","7","taxonomy_stub","","BR","0","True","False","False","False","False","100"
"startup","lemon","Lemon","source_needed","exclude","seeded","medium","7.5","manual_public_signal","","AR","3","True","False","False","False","False","100"
"startup","lifit","Lifit","source_needed","exclude","seeded","medium","8","portfolio_or_official_override","","","0","True","False","False","False","False","100"
