"metric","value"
"startup_total_unique","384"
"duplicates_by_startup_name","0"
"source_backed::with_external_source","337"
"source_backed::missing_external_source","47"
"scope::exclude","101"
"scope::include","283"
"review_status::reviewed","334"
"review_status::seeded","22"
"review_status::taxonomy_stub","28"
"include_review_status::reviewed","283"
"include_source_backed::with_external_source","283"
"include_source_backed::missing_external_source","0"
"include_macro_theme::climate, energy and resource systems","55"
"include_macro_theme::therapeutics and regenerative medicine","43"
"include_macro_theme::ag biologicals and crop resilience","39"
"include_macro_theme::diagnostics and medtech","38"
"include_macro_theme::precision agriculture and resource intelligence","35"
"include_macro_theme::food biotech and novel ingredients","31"
"include_macro_theme::biobased chemistry and advanced materials","21"
"include_macro_theme::biomanufacturing and bioindustrial platforms","13"
"include_macro_theme::computational biology and scientific software","8"
