"feature_profile","feature_profile_label","text_weight","technology_weight","industry_weight","k","startups","avg_margin","avg_within","low_confidence_share","small_clusters","unique_labels","label_compression","size_cv","largest_cluster_share","explainability_score"
"technology_heavy","Technology-heavy","0.85","1.15","0.35","5","283","16.6","27.2","8.8","0","5","1","0.37","33.6","50.5"
"industry_heavy","Industry-heavy","0.85","0.4","1.1","5","283","18.4","28","6","0","5","1","0.44","32.9","50.4"
"balanced","Balanced","1","0.65","0.45","5","283","18","28","5.3","0","5","1","0.43","33.2","50.4"
"industry_heavy","Industry-heavy","0.85","0.4","1.1","6","283","19.3","29.5","7.1","0","6","1","0.53","32.9","49.4"
"technology_heavy","Technology-heavy","0.85","1.15","0.35","6","283","17.3","28.4","7.4","0","6","1","0.49","30.7","49.3"
"balanced","Balanced","1","0.65","0.45","6","283","17.5","29.3","4.2","0","6","1","0.49","29","49.7"
"balanced","Balanced","1","0.65","0.45","7","283","19","30.9","3.2","0","7","1","0.48","24.7","50.9"
"technology_heavy","Technology-heavy","0.85","1.15","0.35","7","283","18.1","29.8","7.4","0","7","1","0.51","26.9","49.4"
"industry_heavy","Industry-heavy","0.85","0.4","1.1","7","283","21.2","31.5","8.1","0","7","1","0.53","29","50.4"
"technology_heavy","Technology-heavy","0.85","1.15","0.35","8","283","18.8","31.3","6.7","0","8","1","0.48","22.6","50.6"
"industry_heavy","Industry-heavy","0.85","0.4","1.1","8","283","21","33","10.2","0","8","1","0.41","20.5","52.3"
"balanced","Balanced","1","0.65","0.45","8","283","19.4","32.4","7.4","0","8","1","0.38","22.3","52.6"
"balanced","Balanced","1","0.65","0.45","9","283","19.7","33.3","6.4","0","9","1","0.46","20.8","51.7"
"industry_heavy","Industry-heavy","0.85","0.4","1.1","9","283","21.1","33.8","8.8","0","9","1","0.54","21.2","50.7"
"technology_heavy","Technology-heavy","0.85","1.15","0.35","9","283","19.4","32.2","7.8","0","9","1","0.54","21.9","49.9"
"industry_heavy","Industry-heavy","0.85","0.4","1.1","10","283","22.3","35.2","6","0","10","1","0.54","20.8","51.7"
"technology_heavy","Technology-heavy","0.85","1.15","0.35","10","283","20.9","33.8","5.7","0","10","1","0.49","19.1","51.7"
"balanced","Balanced","1","0.65","0.45","10","283","21.3","35.1","5.3","0","10","1","0.37","14.8","54"
"balanced","Balanced","1","0.65","0.45","11","283","22.1","36.1","5.7","0","11","1","0.43","14.5","53.6"
"technology_heavy","Technology-heavy","0.85","1.15","0.35","11","283","21.3","34.7","6","0","11","1","0.56","19.1","51"
"industry_heavy","Industry-heavy","0.85","0.4","1.1","11","283","22.9","36","7.1","0","11","1","0.59","19.8","51.2"
"industry_heavy","Industry-heavy","0.85","0.4","1.1","12","283","23.6","37.4","5.7","0","12","1","0.51","16.3","53.1"
"technology_heavy","Technology-heavy","0.85","1.15","0.35","12","283","22.8","36.2","7.8","0","12","1","0.45","14.1","53.4"
"balanced","Balanced","1","0.65","0.45","12","283","23.5","37.3","5.7","0","12","1","0.44","13.4","54.2"
