"startup_id","startup_name","scope_decision","macro_theme","review_status","quality_band","source_backed_status","has_external_source","source_url","source_type","source_date","evidence_is_stub","data_quality_score_10"
"tech","@Tech","include","precision agriculture and resource intelligence","reviewed","high","source_backed_reviewed","True","https://theyieldlablatam.com/companies/atech/","official_portfolio_profile","2026-04-21","False","8.5"
"123seguro","123Seguro","exclude","peripheral or non-core digital ventures","reviewed","high","source_backed_reviewed","True","https://www.123seguro.com/","official_website","2026-05-08","False","9"
"abastra","AbAstra","exclude","peripheral or non-core digital ventures","reviewed","high","source_backed_reviewed","True","https://www.abastra.com/","official_website","2026-04-22","False","9"
"aegro","Aegro","include","precision agriculture and resource intelligence","reviewed","medium","source_backed_reviewed","True","https://aegro.com.br/","official_website","2026-04-29","False","8"
"aerialoop","Aerialoop","exclude","frontier hardware and infrastructure systems","reviewed","high","source_backed_reviewed","True","https://www.aerialoop.com/","official_website","2026-04-21","False","8.5"
"ages","AGES","include","biobased chemistry and advanced materials","reviewed","medium","source_backed_reviewed","True","https://www.kptl.com.br/portfolio/ages/","official_portfolio_profile","2026-04-23","False","8"
"agree","Agree","include","climate, energy and resource systems","reviewed","high","source_backed_reviewed","True","https://www.agree.ag/home-en.html","official_website","2026-05-06","False","8.5"
"agricapital","Agricapital","include","climate, energy and resource systems","reviewed","medium","source_backed_reviewed","True","https://agricapital.com.co/","official_website","2026-05-06","False","8"
"agrired","Agrired","include","precision agriculture and resource intelligence","reviewed","high","source_backed_reviewed","True","https://www.agrired.com.ar/","official_website","2026-04-20","False","8.5"
"agrivalle","Agrivalle","include","ag biologicals and crop resilience","reviewed","medium","source_backed_reviewed","True","https://agrivalle.com.br/","official_website","2026-05-06","False","8"
"agroadvance","Agroadvance","exclude","peripheral or non-core digital ventures","reviewed","high","source_backed_reviewed","True","https://agroadvance.com.br/","official_website","2026-05-06","False","8.5"
"agroforte","Agroforte","include","climate, energy and resource systems","reviewed","high","source_backed_reviewed","True","https://theyieldlablatam.com/companies/agroforte/","official_portfolio_profile","2026-05-06","False","8.5"
"agrofy","Agrofy","include","climate, energy and resource systems","reviewed","medium","source_backed_reviewed","True","https://www.agrofy.com/","official_website","2026-04-29","False","8"
"agrojusto","Agrojusto","include","precision agriculture and resource intelligence","reviewed","high","source_backed_reviewed","True","https://agrojustoinc.com/","official_website","2026-05-08","False","9"
"agrolend","Agrolend","include","precision agriculture and resource intelligence","reviewed","medium","source_backed_reviewed","True","https://spventures.com.br/portfolio/agrolend/","official_portfolio_profile","2026-05-08","False","8"
"agrosmart","Agrosmart","include","precision agriculture and resource intelligence","reviewed","medium","source_backed_reviewed","True","https://agrosmart.com.br/about/","official_website","2026-05-06","False","8"
"agrotoken","Agrotoken","include","climate, energy and resource systems","reviewed","high","source_backed_reviewed","True","https://landing.test.agrotoken.io/en/home","official_website","2026-04-20","False","9"
"agrotools","AGROTOOLS","include","precision agriculture and resource intelligence","reviewed","medium","source_backed_reviewed","True","https://agrotools.com.br/en/","official_website","2026-05-06","False","8"
"agrourbana","Agrourbana","include","food biotech and novel ingredients","reviewed","medium","source_backed_reviewed","True","https://www.agrourbana.ag/alta-agricultura","official_website","2026-05-06","False","8"
"algaebio","algaebio+","include","food biotech and novel ingredients","reviewed","medium","source_backed_reviewed","True","https://algaebioplus.com/","official_website","2026-04-20","False","8"
"algalife","Algalife","include","biomanufacturing and bioindustrial platforms","reviewed","medium","source_backed_reviewed","True","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-04-29","False","8"
"alkemio","Alkemio","include","climate, energy and resource systems","reviewed","medium","source_backed_reviewed","True","https://alkemio.tech/","official_website","2026-04-22","False","8"
"aloi","Aloi","exclude","peripheral or non-core digital ventures","reviewed","high","source_backed_reviewed","True","https://aloi.tech/","official_website","2026-04-28","False","9.5"
"altscore","Altscore","exclude","peripheral or non-core digital ventures","reviewed","high","source_backed_reviewed","True","https://www.altscore.ai/","official_website","2026-04-23","False","8.5"
"alytix","Alytix","include","therapeutics and regenerative medicine","reviewed","medium","source_backed_reviewed","True","https://alytixbiotech.com/","official_website","2026-05-06","False","8"
"amaro","Amaro","exclude","peripheral or non-core digital ventures","reviewed","high","source_backed_reviewed","True","https://amaro.com/","official_website","2026-05-08","False","9"
"amplify-dynamics","Amplify Dynamics","include","biomanufacturing and bioindustrial platforms","reviewed","medium","source_backed_reviewed","True","https://amplify-dynamics.com/","official_website","2026-05-06","False","8"
"antarka","Antarka","include","biobased chemistry and advanced materials","reviewed","high","source_backed_reviewed","True","https://www.antarka.bio/our-science","official_website","2026-05-06","False","8.5"
"apasomics","Apasomics","include","therapeutics and regenerative medicine","reviewed","high","source_backed_reviewed","True","https://www.apasomics.com/","official_website","2026-04-20","False","8.5"
"apexzymes","APEXzymes","include","biomanufacturing and bioindustrial platforms","reviewed","medium","source_backed_reviewed","True","https://apexzymes.com/","official_website","2026-04-20","False","8"
"aplife_biotech","Aplife Biotech","include","computational biology and scientific software","reviewed","medium","source_backed_reviewed","True","https://www.aplifebiotech.com/about","official_website","2026-04-21","False","8"
"aquit","Aquit","include","ag biologicals and crop resilience","reviewed","high","source_backed_reviewed","True","https://www.f6s.com/company/aquit","external_profile","2026-04-23","False","8.5"
"arado","Arado","include","climate, energy and resource systems","reviewed","medium","source_backed_reviewed","True","https://www.sobre.arado.com.br/","official_website","2026-04-29","False","8"
"arakion","Arakion","include","ag biologicals and crop resilience","reviewed","high","source_backed_reviewed","True","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-04-24","False","8.5"
"arcomed","Arcomed","include","diagnostics and medtech","reviewed","high","source_backed_reviewed","True","https://www.arcomed.com/","official_website","2026-04-22","False","8.5"
"arcus","Arcus","exclude","peripheral or non-core digital ventures","reviewed","medium","source_backed_reviewed","True","https://www.arcus.co/","official_website","2026-04-20","False","8"
"ardan","Ardan","include","therapeutics and regenerative medicine","reviewed","high","source_backed_reviewed","True","https://ardan-pharma.com/","official_website","2026-04-23","False","8.5"
"argentag","ArgenTAG","include","computational biology and scientific software","reviewed","high","source_backed_reviewed","True","https://www.argentag.com/single-cell-solutions","official_website","2026-05-06","False","8.5"
"arqlite","Arqlite","include","climate, energy and resource systems","reviewed","medium","source_backed_reviewed","True","https://curbwaste.com/company-profiles-network/arqlite","secondary_public_profile","2026-05-08","False","8"
"asclepii","Asclepii","include","therapeutics and regenerative medicine","reviewed","medium","source_backed_reviewed","True","https://asclepii.com/","official_website","2026-05-08","False","8"
"auravant","Auravant","include","precision agriculture and resource intelligence","reviewed","high","source_backed_reviewed","True","https://www.auravant.com/en/about-us/","official_website","2026-05-08","False","9"
"autem-medical","Autem Medical","include","diagnostics and medtech","reviewed","medium","source_backed_reviewed","True","https://www.autemtherapeutics.com/","official_website","2026-05-06","False","8"
"auth0","Auth0","exclude","peripheral or non-core digital ventures","reviewed","high","source_backed_reviewed","True","https://auth0.com/","official_website","2026-04-20","False","8.5"
"avatar_medtech","AVaTAR MedTech","include","diagnostics and medtech","reviewed","high","source_backed_reviewed","True","https://www.avatarmedtech.co/","official_website","2026-05-06","False","8.5"
"axenya","Axenya","exclude","peripheral or non-core digital ventures","reviewed","medium","source_backed_reviewed","True","https://axenya.com/","official_website","2026-04-20","False","8"
"ayuvant","Ayuvant","include","therapeutics and regenerative medicine","reviewed","medium","source_backed_reviewed","True","https://www.ayuvant.com/","official_website","2026-04-20","False","8"
"bacu","BACU","exclude","peripheral or non-core digital ventures","reviewed","medium","source_backed_reviewed","True","https://www.bacu.co/","official_website","2026-04-20","False","8"
"barte","Barte","exclude","peripheral or non-core digital ventures","reviewed","high","source_backed_reviewed","True","https://www.barte.com/","official_website","2026-05-08","False","9"
"beam_croptech","BEAM CropTech","include","ag biologicals and crop resilience","reviewed","medium","source_backed_reviewed","True","https://beamcroptech.com/en/home-en/","official_website","2026-04-20","False","8"
"beeflow","Beeflow","include","ag biologicals and crop resilience","reviewed","high","source_backed_reviewed","True","https://www.beeflow.com/about-us","official_website","2026-05-08","False","8.5"
"bekeu","Bekeu","exclude","peripheral or non-core digital ventures","reviewed","medium","source_backed_reviewed","True","https://www.bekeu.com/","official_website","2026-04-20","False","8"
"bemagro","BemAgro","include","precision agriculture and resource intelligence","reviewed","medium","source_backed_reviewed","True","https://www.bemagro.cloud/en/index.html","official_website","2026-05-08","False","8"
"betterfly","Betterfly","exclude","peripheral or non-core digital ventures","reviewed","medium","source_backed_reviewed","True","https://betterfly.com/en/about-betterfly/","official_website","2026-04-20","False","8"
"bioblends","BioBlends","include","food biotech and novel ingredients","reviewed","high","source_backed_reviewed","True","https://cancilleria.gob.ar/en/new-technologies/next-form-argentine/bioblends","official_public_profile","2026-04-20","False","8.5"
"biocle","BioCl","include","therapeutics and regenerative medicine","reviewed","high","source_backed_reviewed","True","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-04-20","False","8.5"
"biodiversity_intelligence","Biodiversity Intelligence","include","climate, energy and resource systems","reviewed","medium","source_backed_reviewed","True","https://www.gridexponential.com/portfolio","official_portfolio_profile","2026-05-06","False","8"
"bioeutectics","Bioeutectics","include","biobased chemistry and advanced materials","reviewed","high","source_backed_reviewed","True","https://www.bioeutectics.com/","official_website","2026-05-06","False","8.5"
"bioheuris","Bioheuris","include","ag biologicals and crop resilience","reviewed","high","source_backed_reviewed","True","https://bioheuris.com/aboutus","official_website","2026-04-20","False","8.5"
"biolinker","Biolinker Synthetic Biology","include","biomanufacturing and bioindustrial platforms","reviewed","medium","source_backed_reviewed","True","https://biolinker.tech/","official_website","2026-05-06","False","8"
"biomakers","Biomakers","include","diagnostics and medtech","reviewed","medium","source_backed_reviewed","True","https://zentynel.com/en/portfolio/","official_portfolio_profile","2026-04-23","False","8"
"biomas","Biomas","include","climate, energy and resource systems","reviewed","medium","source_backed_reviewed","True","https://www.biomas.com/en","official_website","2026-04-29","False","8"
"biometallum","BioMetallum","include","climate, energy and resource systems","reviewed","high","source_backed_reviewed","True","https://bio-metallum.com/","official_website","2026-05-08","False","8.5"
"bioplaster_research","BioPlaster Research","include","biobased chemistry and advanced materials","reviewed","medium","source_backed_reviewed","True","https://www.bioplaster-research.com/","official_website","2026-04-29","False","8"
