"source_id","source_url","source_owner","source_type","trust_tier","startup_count","include_count","reviewed_count","seeded_count","first_source_date","examples"
"https-www-gridexponential-com-portfolio-official-portfolio-profile","https://www.gridexponential.com/portfolio","gridexponential.com","official_portfolio_profile","1","21","21","21","0","2026-04-29","Algalife; Arakion; BioCl; Biodiversity Intelligence; BreakPET"
"https-sf500-com-ar-official-portfolio-profile","https://sf500.com.ar/","sf500.com.ar","official_portfolio_profile","1","8","8","8","0","2026-05-08","Dharma BioScience; Eirú; Libera; M4Life; Mycorium Biotech"
"https-zentynel-com-en-portfolio-official-portfolio-profile","https://zentynel.com/en/portfolio/","zentynel.com","official_portfolio_profile","1","5","5","5","0","2026-04-23","Biomakers; Momentum Therapeutics; Neocrop Technologies; Samay; Xeptiva"
"https-spventures-com-br-portfolio-official-portfolio-profile","https://spventures.com.br/portfolio/","spventures.com.br","official_portfolio_profile","1","2","2","2","0","2026-04-29","BUG Agentes Biologicos; Moss"
"https-aegro-com-br-official-website","https://aegro.com.br/","aegro.com.br","official_website","1","1","1","1","0","2026-04-29","Aegro"
"https-www-agree-ag-home-en-html-official-website","https://www.agree.ag/home-en.html","agree.ag","official_website","1","1","1","1","0","2026-05-06","Agree"
"https-agricapital-com-co-official-website","https://agricapital.com.co/","agricapital.com.co","official_website","1","1","1","1","0","2026-05-06","Agricapital"
"https-www-agrired-com-ar-official-website","https://www.agrired.com.ar/","agrired.com.ar","official_website","1","1","1","1","0","2026-04-20","Agrired"
"https-agrivalle-com-br-official-website","https://agrivalle.com.br/","agrivalle.com.br","official_website","1","1","1","1","0","2026-05-06","Agrivalle"
"https-www-agrofy-com-official-website","https://www.agrofy.com/","agrofy.com","official_website","1","1","1","1","0","2026-04-29","Agrofy"
"https-agrojustoinc-com-official-website","https://agrojustoinc.com/","agrojustoinc.com","official_website","1","1","1","1","0","2026-05-08","Agrojusto"
"https-agrosmart-com-br-about-official-website","https://agrosmart.com.br/about/","agrosmart.com.br","official_website","1","1","1","1","0","2026-05-06","Agrosmart"
"https-agrotools-com-br-en-official-website","https://agrotools.com.br/en/","agrotools.com.br","official_website","1","1","1","1","0","2026-05-06","AGROTOOLS"
