startup_id,current_status,new_status,reason
123seguro,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
abastra,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
aerialoop,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
aio_educational_software,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
aipha_g,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
altscore,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
amaro,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
arcus,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
auth0,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
axenya,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
barte,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
beenoculus,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
bekeu,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
betterfly,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
beyond_renewable_energy,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
blerify,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
brisa_robotica,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
cargo_sapiens,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
centralo,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
chazki,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
cleanlight,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
clover,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
compass,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
conciencia,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
concil,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
crinsurance,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
curseduca,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
delfos,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
dynami,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
elytron_security,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
endless,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
epic_aerospace,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
ethos,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
eureka,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
exactly,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
facturama,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
falcomm,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
fligoo,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
frubana,REVIEW,EXCLUDE,Non-biotech (tech/fintech/other sector)
