id,source,source_label,target,target_label,weight,directed,d12
0,123seguro,123Seguro,nxtp_labs,Nxtp Labs,1,true,funded_by
1,123seguro,123Seguro,f_martin_ferrari_123seguro,Martin Ferrari,1,true,has_founder
2,123seguro,123Seguro,f_bruno_ferrari_123seguro,Bruno Ferrari,1,true,has_founder
3,123seguro,123Seguro,alaya_capital,Alaya Capital,1,true,funded_by
4,abastra,AbAstra,cites,Cites,1,true,funded_by
5,abastra,AbAstra,f_german_serrano,Germán Serrano,1,true,has_founder
6,aerialoop,Aerialoop,kamay_ventures,Kamay Ventures,1,true,funded_by
7,aerialoop,Aerialoop,f_pedro_m_aerialoop,Pedro M. (Aerialoop),1,true,has_founder
8,aerialoop,Aerialoop,f_pedro_meneses,Pedro Meneses,1,true,has_founder
9,agree,Agree,the_yield_lab_latam,The Yield Lab Latam,1,true,funded_by
10,agree,Agree,f_gabriel_m_agree,Gabriel M. (Agree),1,true,has_founder
11,agree,Agree,f_sebastian_g_agree,Sebastian G. (Agree),1,true,has_founder
12,agree,Agree,f_nicolas_m_agree,Nicolas M. (Agree),1,true,has_founder
13,agrired,Agrired,xperiment,Xperiment,1,true,funded_by
14,agrired,Agrired,f_gabriel_vidal_agrired,Gabriel Vidal,1,true,has_founder
15,agrired,Agrired,f_nicolas_peire_agrired,Nicolas Peire,1,true,has_founder
16,agrired,Agrired,f_manuel_mrejen_agrired,Manuel Mrejen,1,true,has_founder
17,agroforte,Agroforte,the_yield_lab_latam,The Yield Lab Latam,1,true,funded_by
18,agroforte,Agroforte,f_gustavo_silva_de_andrade_agroforte,Gustavo Silva De Andrade,1,true,has_founder
19,agroforte,Agroforte,f_felipe_d_avila_agroforte,Felipe D'Avila,1,true,has_founder
20,agroforte,Agroforte,f_felipe_davila,Felipe D'Avila,1,true,has_founder
21,agrojusto,Agrojusto,antom,Antom,1,true,funded_by
22,agrojusto,Agrojusto,glocal,Glocal,1,true,funded_by
23,agrojusto,Agrojusto,f_ma_fernanda_b,Maria Fernanda B.,1,true,has_founder
24,agrojusto,Agrojusto,f_alfonso_b,Alfonso B.,1,true,has_founder
