investment_id,investor_id,startup_id,confidence_score,source
GEPHI_123seguro_varana_capital,varana_capital,123seguro,0.85,full_gephi_graph (network)
GEPHI_abastra_CITES,CITES,abastra,0.85,full_gephi_graph (network)
GEPHI_aerialoop_kamay_ventures,kamay_ventures,aerialoop,0.85,full_gephi_graph (network)
GEPHI_agree_the_yield_lab_latam,the_yield_lab_latam,agree,0.85,full_gephi_graph (network)
GEPHI_agroforte_the_yield_lab_latam,the_yield_lab_latam,agroforte,0.85,full_gephi_graph (network)
GEPHI_agrojusto_Antom,Antom,agrojusto,0.85,full_gephi_graph (network)
GEPHI_agrojusto_glocal,glocal,agrojusto,0.85,full_gephi_graph (network)
GEPHI_agrotoken_newtopia_vc,newtopia_vc,agrotoken,0.85,full_gephi_graph (network)
GEPHI_algaebio_GridX,GridX,algaebio,0.85,full_gephi_graph (network)
GEPHI_alkemio_GridX,GridX,alkemio,0.85,full_gephi_graph (network)
GEPHI_altscore_kamay_ventures,kamay_ventures,altscore,0.85,full_gephi_graph (network)
GEPHI_alytix_GridX,GridX,alytix,0.85,full_gephi_graph (network)
GEPHI_antarka_GridX,GridX,antarka,0.85,full_gephi_graph (network)
GEPHI_apasomics_GridX,GridX,apasomics,0.85,full_gephi_graph (network)
GEPHI_apexzymes_GridX,GridX,apexzymes,0.85,full_gephi_graph (network)
GEPHI_aplife_biotech_AIR Capital,AIR Capital,aplife_biotech,0.85,full_gephi_graph (network)
GEPHI_aquit_GridX,GridX,aquit,0.85,full_gephi_graph (network)
GEPHI_arakion_GridX,GridX,arakion,0.85,full_gephi_graph (network)
GEPHI_arcomed_AIR Capital,AIR Capital,arcomed,0.85,full_gephi_graph (network)
GEPHI_ardan_CITES,CITES,ardan,0.85,full_gephi_graph (network)
GEPHI_argentag_draper_university,draper_university,argentag,0.85,full_gephi_graph (network)
GEPHI_argentag_GridX,GridX,argentag,0.85,full_gephi_graph (network)
GEPHI_argentag_DraperCygnus,DraperCygnus,argentag,0.85,full_gephi_graph (network)
GEPHI_argentag_AIR Capital,AIR Capital,argentag,0.85,full_gephi_graph (network)
GEPHI_arqlite_kamay_ventures,kamay_ventures,arqlite,0.85,full_gephi_graph (network)
GEPHI_auravant_the_yield_lab_latam,the_yield_lab_latam,auravant,0.85,full_gephi_graph (network)
GEPHI_auravant_kamay_ventures,kamay_ventures,auravant,0.85,full_gephi_graph (network)
GEPHI_auth0_DraperCygnus,DraperCygnus,auth0,0.85,full_gephi_graph (network)
GEPHI_auth0_sp_ventures,sp_ventures,auth0,0.85,full_gephi_graph (network)
GEPHI_avatar_medtech_GridX,GridX,avatar_medtech,0.85,full_gephi_graph (network)
GEPHI_ayuvant_DraperCygnus,DraperCygnus,ayuvant,0.85,full_gephi_graph (network)
GEPHI_ayuvant_AIR Capital,AIR Capital,ayuvant,0.85,full_gephi_graph (network)
GEPHI_bacu_kamay_ventures,kamay_ventures,bacu,0.85,full_gephi_graph (network)
GEPHI_beam_croptech_SF500,SF500,beam_croptech,0.85,full_gephi_graph (network)
GEPHI_beeflow_ospraie,ospraie,beeflow,0.85,full_gephi_graph (network)
GEPHI_beeflow_vectr,vectr,beeflow,0.85,full_gephi_graph (network)
GEPHI_beeflow_future_ventures,future_ventures,beeflow,0.85,full_gephi_graph (network)
GEPHI_beeflow_sosv,sosv,beeflow,0.85,full_gephi_graph (network)
GEPHI_beeflow_AIR Capital,AIR Capital,beeflow,0.85,full_gephi_graph (network)
GEPHI_bioblends_GridX,GridX,bioblends,0.85,full_gephi_graph (network)
GEPHI_biocle_GridX,GridX,biocle,0.85,full_gephi_graph (network)
GEPHI_biodiversity_intelligence_GridX,GridX,biodiversity_intelligence,0.85,full_gephi_graph (network)
GEPHI_bioeutectics_GridX,GridX,bioeutectics,0.85,full_gephi_graph (network)
GEPHI_bioheuris_aceleradora_litoral,aceleradora_litoral,bioheuris,0.85,full_gephi_graph (network)
GEPHI_biometallum_SF500,SF500,biometallum,0.85,full_gephi_graph (network)
GEPHI_bioplaster_research_inc_GridX,GridX,bioplaster_research_inc,0.85,full_gephi_graph (network)
GEPHI_bioplastix_GridX,GridX,bioplastix,0.85,full_gephi_graph (network)
GEPHI_bioseek_CITES,CITES,bioseek,0.85,full_gephi_graph (network)
GEPHI_biosynaptica_aceleradora_litoral,aceleradora_litoral,biosynaptica,0.85,full_gephi_graph (network)
GEPHI_biotalife_SF500,SF500,biotalife,0.85,full_gephi_graph (network)
GEPHI_bitgenia_GridX,GridX,bitgenia,0.85,full_gephi_graph (network)
GEPHI_blerify_AIR Capital,AIR Capital,blerify,0.85,full_gephi_graph (network)
GEPHI_branch_energy_AIR Capital,AIR Capital,branch_energy,0.85,full_gephi_graph (network)
GEPHI_break_pet_GridX,GridX,break_pet,0.85,full_gephi_graph (network)
GEPHI_bsafe_biotech_GridX,GridX,bsafe_biotech,0.85,full_gephi_graph (network)
GEPHI_bybug_GridX,GridX,bybug,0.85,full_gephi_graph (network)
GEPHI_calfix_GridX,GridX,calfix,0.85,full_gephi_graph (network)
