"source_file","signal_type","value","occurrences"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","node_type_signal","Accelerator","10"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","node_type_signal","Corporate","9"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","node_type_signal","Corporate VC","3"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","node_type_signal","Founder4","561"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","node_type_signal","Investor4","108"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","node_type_signal","Knowledge Hub4","123"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","node_type_signal","Research Institute","25"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","node_type_signal","Startup4","305"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","node_type_signal","University","123"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","relation_taxonomy","accelerated_at","24"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","relation_taxonomy","built_by","12"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","relation_taxonomy","collaborates_with","6"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","relation_taxonomy","funded_by","413"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","relation_taxonomy","graduated_from","31"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","relation_taxonomy","has_founder","498"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","relation_taxonomy","incubated_at","9"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","relation_taxonomy","member_of","35"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","relation_taxonomy","researched_at","40"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","relation_taxonomy","spin_off_from","6"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","relation_taxonomy","studied_at","340"
"Ecosistema Startups Materiales Universidades Fondos Startups.gephi","node_type_signal","University","185"
"Ecosistema Startups Materiales.gephi","node_type_signal","University","3"
"Ecosistema Startups Materiales.gephi","relation_taxonomy","funded_by","271"
