investment_id,investor_id,startup_id,confidence_score,source
VERIFIED_aceleradora_litoral_biosynaptica,aceleradora_litoral,biosynaptica,0.95,investment_rounds: official portfolio
VERIFIED_aceleradora_litoral_bioheuris,aceleradora_litoral,bioheuris,0.95,investment_rounds: official portfolio
VERIFIED_aceleradora_litoral_inbioar,aceleradora_litoral,inbioar,0.95,investment_rounds: official portfolio
VERIFIED_aceleradora_litoral_infira,aceleradora_litoral,infira,0.95,investment_rounds: official portfolio
VERIFIED_aceleradora_litoral_nairotech,aceleradora_litoral,nairotech,0.95,investment_rounds: official portfolio
VERIFIED_aceleradora_litoral_seedmatriz,aceleradora_litoral,seedmatriz,0.95,investment_rounds: official portfolio
VERIFIED_aceleradora_litoral_untech,aceleradora_litoral,untech,0.95,investment_rounds: official portfolio
VERIFIED_antom_eiru,antom,eiru,0.95,investment_rounds: official portfolio
VERIFIED_cites_ardan,cites,ardan,0.95,investment_rounds: official portfolio
VERIFIED_cites_bioseek,cites,bioseek,0.95,investment_rounds: official portfolio
VERIFIED_chileglobal_ventures_agrourbana,chileglobal_ventures,agrourbana,0.95,investment_rounds: official portfolio
VERIFIED_chileglobal_ventures_matchetune,chileglobal_ventures,matchetune,0.95,investment_rounds: official portfolio
VERIFIED_drapercygnus_stamm,drapercygnus,stamm,0.95,investment_rounds: official portfolio
VERIFIED_endurance_28_biomakers,endurance_28,biomakers,0.95,investment_rounds: official portfolio
VERIFIED_endurance_28_oncoliq,endurance_28,oncoliq,0.95,investment_rounds: official portfolio
VERIFIED_gridx_avatar_medtech,gridx,avatar_medtech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_arakion,gridx,arakion,0.95,investment_rounds: official portfolio
VERIFIED_gridx_biocle,gridx,biocle,0.95,investment_rounds: official portfolio
VERIFIED_gridx_bioplaster_research_inc,gridx,bioplaster_research_inc,0.95,investment_rounds: official portfolio
VERIFIED_gridx_break_pet,gridx,break_pet,0.95,investment_rounds: official portfolio
VERIFIED_gridx_break_pet,gridx,break_pet,0.95,investment_rounds: official portfolio
VERIFIED_gridx_calfix,gridx,calfix,0.95,investment_rounds: official portfolio
VERIFIED_gridx_cell_farm,gridx,cell_farm,0.95,investment_rounds: official portfolio
VERIFIED_gridx_cellco,gridx,cellco,0.95,investment_rounds: official portfolio
VERIFIED_gridx_cytbac,gridx,cytbac,0.95,investment_rounds: official portfolio
VERIFIED_gridx_elytron_biotech,gridx,elytron_biotech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_enzyva,gridx,enzyva,0.95,investment_rounds: official portfolio
VERIFIED_gridx_eywa_biotech,gridx,eywa_biotech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_fecundis,gridx,fecundis,0.95,investment_rounds: official portfolio
VERIFIED_gridx_fecundis,gridx,fecundis,0.95,investment_rounds: official portfolio
VERIFIED_gridx_food4you,gridx,food4you,0.95,investment_rounds: official portfolio
VERIFIED_gridx_HIAMET,gridx,HIAMET,0.95,investment_rounds: official portfolio
VERIFIED_gridx_HIAMET,gridx,HIAMET,0.95,investment_rounds: official portfolio
VERIFIED_gridx_kresko_rnatech,gridx,kresko_rnatech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_levya,gridx,levya,0.95,investment_rounds: official portfolio
VERIFIED_gridx_lipock,gridx,lipock,0.95,investment_rounds: official portfolio
VERIFIED_gridx_mavios,gridx,mavios,0.95,investment_rounds: official portfolio
VERIFIED_gridx_michroma,gridx,michroma,0.95,investment_rounds: official portfolio
VERIFIED_gridx_michroma,gridx,michroma,0.95,investment_rounds: official portfolio
VERIFIED_gridx_microgenesis,gridx,microgenesis,0.95,investment_rounds: official portfolio
VERIFIED_gridx_microgenesis,gridx,microgenesis,0.95,investment_rounds: official portfolio
VERIFIED_gridx_nanojump_bio,gridx,nanojump_bio,0.95,investment_rounds: official portfolio
VERIFIED_gridx_nanogrow_biotech,gridx,nanogrow_biotech,0.95,investment_rounds: official portfolio
VERIFIED_gridx_nanoprox,gridx,nanoprox,0.95,investment_rounds: official portfolio
