"slug","label","inferred_type","inferred_country","inferred_sector","offset","raw_attrs"
"123seguro","Digital Economy","Startup","nan","123Seguro","1278","nan|Startup|123Seguro"
"aceleradora_litoral","Aceleradora Litoral","Investor","nan","","156365","nan|Investor|Aceleradora Litoral"
"aerialoop","Other / Unclassified","Startup","EC/US","Aerialoop","1542","EC/US|Startup|Aerialoop"
"agree","Digital Economy","Startup","nan","Agree","1687","nan|Startup|Agree"
"agrired","Digital Economy","Startup","nan","Agrired","1806","nan|Startup|Agrired"
"agroforte","Digital Economy","Startup","BR","Agroforte","1933","BR|Startup|Agroforte"
"agrojusto","Digital Economy","Startup","nan","Agrojusto","2067","nan|Startup|Agrojusto"
"agrotoken","Digital Economy","Startup","nan","Agrotoken","2200","nan|Startup|Agrotoken"
"air_capital","Air Capital","Investor","nan","","156521","nan|Investor|Air Capital"
"alaya_capital","Alaya Capital","Investor","VC","","166682","VC|Investor|Alaya Capital"
"algaebio","algaebio+","Startup","nan","","2320","Other / Unclassified|nan|Startup|algaebio+"
"alkemio","Other / Unclassified","Startup","NL/AR","Alkemio","2469","NL/AR|Startup|Alkemio"
"aloi","Digital Economy","Startup","US/Latam","Aloi","2601","US/Latam|Startup|Aloi"
"altscore","Digital Economy","Startup","nan","Altscore","2733","nan|Startup|Altscore"
"alytix","Other / Unclassified","Startup","nan","Alytix","2861","nan|Startup|Alytix"
"amaro","Digital Economy","Startup","nan","Amaro","2987","nan|Startup|Amaro"
"antarka","Digital Economy","Startup","AR","Antarka","3107","AR|Startup|Antarka"
"apasomics","Digital Economy","Startup","CR","Apasomics","3235","CR|Startup|Apasomics"
"apexzymes","Other / Unclassified","Startup","nan","APEXzymes","3369","nan|Startup|APEXzymes"
"aplife","Digital Economy","Startup","nan","Aplife","3505","nan|Startup|Aplife"
"aplife_biotech","Aplife Biotech","Startup","nan","","3615","Other / Unclassified|nan|Startup|Aplife Biotech"
"aquit","Digital Economy","Startup","nan","Aquit","3785","nan|Startup|Aquit"
"arakion","Other / Unclassified","Startup","nan","Arakion","3905","nan|Startup|Arakion"
"arcomed","Human Health","Startup","CL","Arcomed","4036","CL|Startup|Arcomed"
"arcus","Other / Unclassified","Startup","nan","Arcus","4165","nan|Startup|Arcus"
"ardan","Digital Economy","Startup","AR","Ardan","4288","AR|Startup|Ardan"
"argentag","Other / Unclassified","Startup","nan","ArgenTAG","4409","nan|Startup|ArgenTAG"
"arqlite","Other / Unclassified","Startup","nan","Arqlite","4543","nan|Startup|Arqlite"
"at_one_ventures","At One Ventures","Investor","VC","","168857","VC|Investor|At One Ventures"
"auravant","Digital Economy","Startup","nan","Auravant","4675","nan|Startup|Auravant"
"auth0","Other / Unclassified","Startup","nan","Auth0","4803","nan|Startup|Auth0"
"avatar_medtech","AVaTAR MedTech","Startup","AR/US","Human Health","4916","Human Health|AR/US|Startup|AVaTAR MedTech"
"axenya","Other / Unclassified","Startup","nan","Axenya","5090","nan|Startup|Axenya"
"ayuvant","Other / Unclassified","Startup","nan","Ayuvant","5218","nan|Startup|Ayuvant"
"bacu","Other / Unclassified","Startup","nan","BACU","5346","nan|Startup|BACU"
"barte","Digital Economy","Startup","nan","Barte","5466","nan|Startup|Barte"
"beam_croptech","BEAM CropTech","Startup","nan","","5573","Other / Unclassified|nan|Startup|BEAM CropTech"
"beeflow","Other / Unclassified","Startup","nan","Beeflow","5741","nan|Startup|Beeflow"
"bekeu","Other / Unclassified","Startup","nan","Bekeu","5871","nan|Startup|Bekeu"
"bessemer","Bessemer Venture Partners","Investor","VC","","169878","VC|Investor|Bessemer Venture Partners"
"betterfly","Other / Unclassified","Startup","nan","Betterfly","5998","nan|Startup|Betterfly"
"bioblends","Other / Unclassified","Startup","nan","BioBlends","6137","nan|Startup|BioBlends"
"biocle","Digital Economy","Startup","AR","","6261","AR|Startup"
"biodiversity_intelligence","Biodiversity Intelligence","Startup","nan","","6385","Other / Unclassified|nan|Startup|Biodiversity Intelligence"
"bioeutectics","Digital Economy","Startup","AR/US","Bioeutectics","6606","AR/US|Startup|Bioeutectics"
"bioheuris","Other / Unclassified","Startup","nan","Bioheuris","6752","nan|Startup|Bioheuris"
"biometallum","Digital Economy","Startup","AR","BioMetallum","6890","AR|Startup|BioMetallum"
"bioplaster_research_inc","BioPlaster Research Inc","Startup","nan","","7015","Other / Unclassified|nan|Startup|BioPlaster Research Inc"
"bioplastix","Other / Unclassified","Startup","nan","Bioplastix","7226","nan|Startup|Bioplastix"
"bioseek","Other / Unclassified","Startup","nan","Bioseek","7366","nan|Startup|Bioseek"
"biosynaptica","Digital Economy","Startup","AR","BioSynaptica","7502","AR|Startup|BioSynaptica"
"biotalife","Other / Unclassified","Startup","nan","Biotalife","7645","nan|Startup|Biotalife"
"bitgenia","Other / Unclassified","Startup","nan","Bitgenia","7783","nan|Startup|Bitgenia"
"bleps_vision","Bleps Vision","Startup","nan","","7904","Other / Unclassified|nan|Startup|Bleps Vision"
"blerify","Digital Economy","Startup","AR/US","Blerify","8068","AR/US|Startup|Blerify"
"blue_horizon","Blue Horizon","Investor","nan","","156850","nan|Investor|Blue Horizon"
"branch_energy","Branch Energy","Startup","US","","8192","US|Startup|Branch Energy"
"break_pet","Break Pet","Startup","nan","","8348","Other / Unclassified|nan|Startup|Break Pet"
"breakpet","Other / Unclassified","Startup","nan","BreakPET","8501","nan|Startup|BreakPET"
"bsafe_biotech","Bsafe Biotech","Startup","nan","","8622","Other / Unclassified|nan|Startup|Bsafe Biotech"
"bybug","Other / Unclassified","Startup","nan","ByBug","8788","nan|Startup|ByBug"
"calfix","Digital Economy","Startup","AR","Calfix","8912","AR|Startup|Calfix"
"calice","Other / Unclassified","Startup","nan","Calice","9034","nan|Startup|Calice"
"calice_biotech","Calice Biotech","Startup","nan","","9149","Other / Unclassified|nan|Startup|Calice Biotech"
